Time	Longitude	Latitude		Long Deg	Long Min	Long Sek						0			0		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213500	93350737	534040493		9	33	30,4422	9,558456167		53	40	24,2958	53,6734155		9,558456167	53,6734155		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
